epoch,phase,loss,accuracy,weighted_f1,accuracy_anger,accuracy_disgust,accuracy_fear,accuracy_joy,accuracy_neutral,accuracy_sadness,accuracy_surprise,f1_anger,f1_disgust,f1_fear,f1_joy,f1_neutral,f1_sadness,f1_surprise
0,train,,0.4714185604164581,0.3021338167861637,0.0,0.0,0.0,0.0,0.9997876857749468,0.0,0.0,0.0,0.0,0.0,0.0,0.6407674513539257,0.0,0.0
0,val,,0.4238052299368801,0.2522969703234118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953134895503484,0.0,0.0
0,test,,0.4812260536398467,0.3126849060381001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497672012415934,0.0,0.0
1,train,,0.4715186705375913,0.302177418631479,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408599224437036,0.0,0.0
1,val,,0.4238052299368801,0.2522969703234118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953134895503484,0.0,0.0
1,test,,0.4812260536398467,0.3126849060381001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497672012415934,0.0,0.0
2,train,,0.4717188907798578,0.3036195073397236,0.0,0.0,0.0,0.0034423407917383,0.9991507430997876,0.0,0.0,0.0,0.0,0.0,0.006787330316742,0.6414065694425515,0.0,0.0
2,val,,0.4238052299368801,0.2527772310537228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5964467005076142,0.0,0.0
2,test,,0.4808429118773946,0.3126785903795017,0.0,0.0,0.0,0.0,0.9992038216560508,0.0,0.0,0.0,0.0,0.0,0.0,0.6497540771421175,0.0,0.0
3,train,,0.474221643808189,0.309661060385807,0.0,0.0,0.0,0.0057372346528973,0.9985138004246285,0.0,0.0199170124481327,0.0,0.0,0.0,0.0112676056338028,0.6426180228188837,0.0,0.0388663967611336
3,val,,0.4238052299368801,0.2546206372440986,0.0,0.0,0.0,0.0061349693251533,0.997872340425532,0.0,0.0,0.0,0.0,0.0,0.0118343195266272,0.5966921119592875,0.0,0.0
3,test,,0.4827586206896552,0.3177225446361513,0.0,0.0,0.0,0.0024875621890547,0.998407643312102,0.0,0.0177935943060498,0.0,0.0,0.0,0.0049140049140049,0.650921359979237,0.0,0.0346020761245674
4,train,,0.4787265992591851,0.322598712286148,0.0,0.0,0.0,0.0263912794033275,0.994904458598726,0.0,0.0414937759336099,0.0,0.0,0.0,0.0493827160493827,0.6457658650864742,0.0,0.0786782061369
4,val,,0.4247069431920649,0.2602996707104958,0.0,0.0,0.0,0.0184049079754601,0.9936170212765958,0.0,0.0066666666666666,0.0,0.0,0.0,0.0337078651685393,0.598334401024984,0.0,0.0130718954248366
